bibliographicCitation,collectionCode,catalogNumber,family,genus,scientificName,recordNumber,recordedBy,year,month,day,identifiedBy,dateIdentified,det_ok,country,stateProvince,municipality,locality,decimalLongitude,decimalLatitude,Georef
JG Rando,ESA,,Fabaceae,Chamaecrista,Chamaecrista aristata,25670,"Souza, V.C.",2001,7,11,"Rando, J.G.",NA,2,Brazil,Minas Gerais,Gr‹o Mogol,"Estrada Gr‹o Mogol - Crist‡lia, ca. 6 km de Gr‹o Mogol",-42.9014,-16.5964,0
SpeciesLink,MBM,58674,Fabaceae,Chamaecrista,Chamaecrista aristata,41465,"Hatschbach, G.",NA,NA,NA,"Barneby, R.C.",NA,2,Brazil,Minas Gerais,Gr‹o Mogol,"Gr‹o Mogol, arredores",-42.8892,-16.5592,0
JG Rando,"BHCB, ESA, MBM",228241,Fabaceae,Chamaecrista,Chamaecrista aristata,67980,"Hatschbach, G.",1998,7,18,"Rando, J.G.",NA,2,Brazil,Minas Gerais,Gr‹o Mogol,"Estrada Gr‹o Mogol para Crist‡lia, ponte sobre Rio Itacambiruu",-42.9021,-16.5594,1
SpeciesLink,MBM,259150,Fabaceae,Chamaecrista,Chamaecrista aristata,72064,"Hatschbach, G.",2001,5,15,"Souza, V.C.",NA,2,Brazil,Minas Gerais,Joaquim Fel’cio,Serra do Cabral,-44.2622,-17.698,1
SpeciesLink,SPF,194039,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,1,"Siniscalchi, C.M.",2009,7,22,"Rando, J.G.",NA,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, Antigo km 113 da rodovia que liga Belo Horizonte à Concei‹o do Mato Dentro (MG 010). Em encosta pr—xima à rodovia.",-43.638,-19.349,0
Reflora,CEN,CEN00042608,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,3,"Fernandes, G. W.",1994,9,17,"Rando, J.G.",2010,1,Brazil,Minas Gerais,Jaboticatubas,Serra do Cip—,-43.54,-19.388,2
SpeciesLink,SPF,181864,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,7,"El Ottra, J.H.L.",2006,7,27,"Rando, J.G.",/07/1997,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, Trilha da cachoeira da Farofa.",-43.644,-19.36,0
SpeciesLink,SPF,109925,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,13,"Hervêncio, P.",1995,9,3,"Hervêncio, P.",/06/2008,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, Estrada MG010 km 125. Belo Horizonte - Concei‹o do mato Dentro, pr—ximo à est‡tua do Velho Juca.",-43.557,-19.285,1
SpeciesLink,NYBG_BR,978954,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,41,"Madsen, V.",1998,7,5,"Barneby, R.C.",/07/2008,1,Brazil,Minas Gerais,,"Serra da Moeda, Brumadinho",-43.984,-20.099,0
SpeciesLink,BHZB,5564,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,41,"Silveira, V.M. et al.",1998,7,5,"Rando, J.G..",NA,1,Brasil,MG,Brumadinho,Serra da Moeda,-43.983,-20.1,0
SpeciesLink,UB,207843,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,49,"Schliewe, M.A.",2014,11,30,"Cota, M.M.T.",NA,1,Brasil,Minas Gerais,Santana do Riacho,"Parque Nacional da Serra do Cip—, trilha do Cap‹o",-43.507,-19.23,1
SpeciesLink,SPF,171743,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,55,"Sato, C.S.",2005,8,11,"Rando, J.G.",2015,2,Brasil,Minas Gerais,Santana do Riacho,Parque Nacional da Serra do Cip—,-43.573,-19.169,1
SpeciesLink,SPF,113431,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,65,"Hervêncio, P.",1996,2,14,"Hervêncio, P.",2013,1,Brasil,Minas Gerais,Morro do Pilar,"Serra do Cip—, 1 km ap—s o entrocamento para Concei‹o do Mato Dentro.",-43.499,-19.221,1
SpeciesLink,HUEFS,216051,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,70,"Alves, P.A.C.",2015,2,3,"Cota, M.M.T.",/02/2017,1,Brasil,Bahia,Len—is,"Trilha para o Poo do diabo, paralelo ao leito do rio.",-41.415,-12.462,0
SpeciesLink,HUEFS,44410,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,82,"Costa, F.N.",1999,9,24,"Queiroz, L.P.",/07/2008,1,Brasil,Minas Gerais,Jaboticatubas,Parque Nacional da Serra do Cip—. Trilha sede do IBAMA-Canyon das Bandeirinhas.,-43.531,-19.169,1
SpeciesLink,SPF,152195,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,85,"Silva, M.M.",1998,7,5,"Rando, J.G.",24/06/1997,1,Brasil,Bahia,Palmeiras,Morro do Pai In‡cio,-41.472,-12.459,1
SpeciesLink,HUEFS,107551,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,91,"Barreto, V.",2005,7,2,NA,/09/2006,2,Brasil,Bahia,Miguel Calmon,Trilha da Cachoeira do Sinvaldo.,-40.517,-11.383,0
SpeciesLink,NYBG_BR,978931,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,91,"Madsen, V.",1998,9,20,"Barneby, R.C.",1976,2,Brazil,Minas Gerais,Brumadinho,"Serra da Moeda, Brumadinho",-43.984,-20.1,1
SpeciesLink,HUEFS,181441,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,308,"Silva, C.",2011,5,29,"Rando, J.G.",/11/1997,1,Brasil,Bahia,Palmeiras,"Morro do Pai In‡cio, Chapada Diamantina.",-41.467,-12.45,0
SpeciesLink,VIC,42398,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,371,"Coutinho, Í.A.C.",2014,3,22,"Coutinho, Í.A.C.",NA,1,Brasil,Minas Gerais,Jaboticatubas,Alto pal‡cio pr—ximo a Vellozia gigantea.,-43.531,-19.259,1
SpeciesLink,MBM,269009,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,397,"Conceição, A.S.",1999,9,19,"Concei‹o, A.S.",NA,2,Brazil,Bahia,Aba’ra,"CatolŽs, Bicota",-41.856,-13.337,1
SpeciesLink,CEPEC,69342,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,417,"Orlandi, R.P.",1994,8,29,"Concei‹o, A.S.",NA,2,Brasil,Bahia,palmeiras,Pai Inacio.,-41.471,-12.456,0
SpeciesLink,ALCB,45757,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,424,"Conceição, A.S.; Campos, G.L.; Carneiro-Torres, D.S.; Miranda Silva, E.B.",1999,10,23,"Concei‹o, A.S.",/10/1999,2,Brasil,Bahia,Aba’ra,"Chapada Diamantina, CatolŽs, Campo do Courv‹o",-41.783,-13.267,0
SpeciesLink,ESA,109001,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,508,"Rando, J.G.",2008,1,8,"Rando, J.G.",8/1/08,2,Brasil,Minas Gerais,Jaboticatubas,,-43.623,-19.349,0
JG Rando,"SPF, ESA",,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,512,"Rando, J.G.",2008,1,8,"Rando, J.G.",NA,1,Brasil,Minas Gerais,Santana do Riacho,Pr—ximo ao segundo port‹o depois da Sede do IBAMA.,-43.531,-19.349,1
SpeciesLink,CEPEC,68071,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,555,"Guedes, M.L.",1994,8,30,"Concei‹o, A.S.",NA,1,Brasil,Bahia,palmeiras,"Pai Inacio, lado oposto da torre de repeti‹o.",-41.472,-12.45,0
JG Rando,HUEFS,,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,590,"Conceição, A.S.",2003,5,31,"Rando, J.G.",NA,2,Brasil,Bahia,Aba’ra,"CatolŽs, Serrinha",-41.852,-13.319,0
SpeciesLink,HUEFS,96986,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,597,"Cardoso, D.",2005,6,19,"Concei‹o, A.S.",/04/2006,1,Brasil,Bahia,Mucug,Parque Nacional da Chapada Diamantina. Gerais do rio Preto.,-41.467,-12.767,0
SpeciesLink,BHCB,199298,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,602,"Rando, J.G.; Shimizu, G.H.; Borges, L.M.",2008,10,28,NA,2/12/09,2,Brasil,Minas Gerais,Morro do Pilar,"Serra do Cip—, Entrada da trilha para as Vellozia gigantea.",-43.518,-19.247,1
SpeciesLink,NYBG,777465,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,612,"Ganev, W.",1992,7,6,"Queiroz, L.P.; Hervêncio, P.",1997,2,Brazil,Bahia,Aba’ra,Tanque do Boi,-41.9,-13.267,2
SpeciesLink,HUEFS,6395,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,645,"Queiroz, L.P.",1983,6,29,"Concei‹o, A.S.",/05/2000,1,Brasil,Bahia,Len—is,Chapada Diamantina,-41.383,-12.567,0
JG Rando,SPF,,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,674,"Rando, J.G.",2009,2,4,"Rando, J.G.",NA,2,Brasil,Minas Gerais,Congonhas do Norte,"Serra Talhada (setor nordeste da Serra do Cip—), estrada vicinal saindo da estrada Congonhas do Norte – Gouveia, ca. 3,7 km NW de Congonhas do Norte, perto da ponte sobre o Rio Preto).   Mata ciliar.",-43.71,-18.799,1
JG Rando,SPF,,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,694,"Guedes, M.L.",1994,8,31,"Rando, J.G.",NA,1,Brasil,Bahia,Lençois,Serra da Chapadinha,-41.171,-12.563,1
JG Rando,ESA,93664,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,927,"Savassi-Coutinho, A.P.",2006,1,11,"Rando, J.G.",NA,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, rod. Belo Horizonte - Concei‹o do Mato Dentro, 2 km da estrada da Usina",-43.601,-19.169,1
JG Rando,ALCB,37599,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,937,"Stam, G.",1994,9,27,"Rando, J.G.",NA,1,Brasil,Bahia,Len—is,pr—ximo ao rio Mucugesinho,-41.42,-12.462,0
SpeciesLink,CEPEC,30227,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,947,"Lewis, G.P.",1981,12,21,"Lewis, G.P.",NA,2,Brasil,Bahia,Len—is,"Mucugezinho, Km 220 da BR-242.",-41.433,-12.467,0
SpeciesLink,SPF,211478,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,1011,"Rando, J.G.",2011,10,13,NA,NA,2,Brasil,Minas Gerais,Jaboticatubas,"Serra do Cip—. Trilha para a lagoa Azul, pr—ximo ao alojamento do IBAMA.",-43.629,-19.356,1
SpeciesLink,CEPEC,67680,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,1030,"Carvalho, A.M.",1994,10,26,"Concei‹o, A.S.",NA,1,Brasil,Bahia,palmeiras,Pai Inacio.,-41.471,-12.456,0
SpeciesLink,CEPEC,67708,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,1066,"Carvalho, A.M.",1994,10,27,"Concei‹o, A.S.",NA,1,Brasil,Bahia,Len—is,Chapadinha.,-41.44,-12.46,0
SpeciesLink,SPF,211485,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,1109,"Rando, J.G.",2011,10,27,NA,NA,2,Brasil,Bahia,Palmeiras,"Morro do Pai In‡cio. No meio da trlha da subidada antena ao topo da serra. Quando na trilha houver uma bifurca‹o vira à direita (à esquerda vai para o topo). Platô à direita, lajedo com muitas Vellozia sp.",-41.472,-12.456,1
SpeciesLink,SPF,211402,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,1143,"Rando, J.G.; Nogueira, A",2012,1,12,"Rando, J.G.",NA,1,Brasil,Minas Gerais,Diamantina,"Parque Estadual do Biribiri, Ca. 3 km de Diamantina, sentido Biribiri.",-43.623,-18.2,0
SpeciesLink,UEC,138064,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,1407,"Meireles, L.D.; Verola, C.F.; Caiafa, A.N.; Martins, F.M.",2003,4,20,"Rando, J.G.",/12/1996,2,Brazil,Minas Gerais,Ouro Branco,Serra do Ouro Branco,-43.72,-20.483,0
SpeciesLink,SPF,226155,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,1557,"Queiroz, L.P.",2012,6,10,"Cota, M.M.T.",/03/2016,1,Brasil,Bahia,Mucug,"Serra da Gobira, ca. 7.5. km S da cidade.",-41.375,-13.077,0
SpeciesLink,CEN,107739,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,1767,"Giulietti, A.M.",1981,8,29,"Rando, J.G.",/10/1983,2,Brasil,MG,Diamantina,Margem da estrada Diamantina-Conselheiro. 5 km de Diamantina.,-43.727,-18.288,1
SpeciesLink,NYBG,777464,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,1895,"Ganev, W.",1993,7,19,"Queiroz, L.P.; Hervêncio, P.",1997,2,Brazil,Bahia,Rio de Contas,"Guarda Mor, Capao de Quinca",-42.33,-13.87,2
SpeciesLink,HUEFS,85300,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,1922,"Borba, E.L.",2004,8,5,"Concei‹o, A.S.",/04/2006,2,Brasil,Bahia,Mucug,Serra da Tesoura.,-41.339,-13.137,0
SpeciesLink,UEC,130487,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,2226,"Kinoshita, L.S.; Yamamoto, K.",2002,9,24,"Rando, J.G.",/09/2000,1,Brazil,Minas Gerais,Santana do Riacho,"Lapinha, Pico do Breu, campo rupestre",-43.678,-19.104,1
Reflora,SPF,SPF00218262,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,2290,"Fontana, A.P.",2006,7,26,Administrador,28/05/2019,2,Brasil,Minas Gerais,Ouro Preto,"Br‡z Gomes, caminho para PE Uaimii e Serra do Capanema. Cerrado e Campo rupestre.",-43.555,-20.283,1
SpeciesLink,HUEFS,100413,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,2628,"Silva, G.P.",1994,9,5,"Concei‹o, A.S.",/04/2006,2,Brasil,Bahia,Len—is,BR-242 entroncamento Len—is. - Seabra Km 8.,-41.417,-12.45,0
SpeciesLink,CEN,38768,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,2646,"Silva, G.P.",1994,9,6,"Rando, J.G.",/10/1983,1,Brasil,BA,Mucug,Rodovia Mucugê - Barra da Estiva km 2.,-41.417,-13.033,0
SpeciesLink,NYBG_BR,979057,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,3250,"Lombardi, J.A.",1999,10,22,"Cota, M.M.T.",/10/1983,1,Brazil,Minas Gerais,Nova Lima,Retiro das Pedras,-43.994,-20.087,1
SpeciesLink,R,171527,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,3368,"Mello Filho, L.E.",1972,7,15,"Hervêncio, P.",/03/2013,1,Brasil,Minas gerais,Nova Lima,Gandarela,-43.688,-20.079,1
SpeciesLink,SPF,119880,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,3429,"Ganev, W.",1994,7,23,"Concei‹o, A.S.",/07/1999,1,Brasil,Bahia,Aba’ra,Caminho Boa Vista - Bicota,-41.85,-13.317,2
SpeciesLink,SP,40545,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,3537,"Markgraf, F.; Brade, A.C.",1938,11,16,"Rando, J.G.",1976,2,Brasil,Minas Gerais,Belo Horizonte,Serra da Mutuca. Canga. Ex Jard. Bot. de B.Horiz. nº 28305,-43.96,-20.02,1
JG Rando,SPF,,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,3787,"Macedo, A.",1952,9,7,"Rando, J.G.",NA,1,Brasil,Minas Gerais,Ouro Preto,Saramenha,-43.523,-20.408,1
SpeciesLink,MBM,269008,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,4388,"Queiroz, L.P.",1995,7,10,"Queiróz, L.P.",NA,2,Brazil,Bahia,Aba’ra,9km N de CatolŽs,-41.833,-13.033,0
SpeciesLink,US,2504930,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,5027,"Archer, W.A.",1936,8,5,"Irwin, H.S.; Barneby, R.C.",1976,2,Brazil,Minas Gerais,Jaboticatubas,Serra do Cipo,-43.54,-19.388,2
JG Rando,SPF,,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,5969,"Barreto, M.",1933,7,28,"Rando, J.G.",NA,2,Brasil,Minas Gerais,CaetŽ,Serra da Piedade,-43.678,-19.88,1
SpeciesLink,JPB,57103,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,6061,"Fernandes, MGC",2006,6,20,"Rando, J.G.",10/10/09,1,Brasil,Minas Gerais,Brumadinho,Parque Estadual Serra do Rola Moa,-44.002,-20.052,1
SpeciesLink,HPL,9634,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,6218,"Paula-Souza, J.; Tsuji, R.",2006,7,20,"Rando, J.G.",2009,1,Brasil,BA,Palmeiras,"Coletado no Morro do Pai In‡cio; em ‡rea de campo rupestre. S 12° 27' 20""; W 41° 28' 23"" (1070m.s.m.)",-41.473,-12.456,1
SpeciesLink,SPF,217138,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,6471,"Verdi, M.",2013,10,14,"Cota, M.M.T.",/10/1983,1,Brasil,Minas Gerais,Santana do Riacho,"APA Morro da Pedreira, Coletado na trilha para a Pedra do Elefante, a partir do riacho da Pousada.",-43.553,-19.291,0
SpeciesLink,SPF,217141,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,6593,"Verdi, M.",2013,10,15,"Cota, M.M.T.",NA,1,Brasil,Minas Gerais,Morro do Pilar,"Parque Nacional da Serra do Cip—, Alto Pal‡cio; trilha para as Vellozia gigantea.",-43.519,-19.247,0
Reflora,NY,NY00978908,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,6640,"Verdi, M.",2013,10,16,Administrador,1/2/17,1,Brasil,Minas Gerais,Jaboticatubas,PARNA Serra do Cip—; Cachoeira da Farofa. Portaria do Retiro; coletas realizadas na plan’cie para a Cachoeira da Farofa ap—s cruzar o rio Cip— no bambuzal.,-43.583,-19.347,2
SpeciesLink,US,1933034,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,7506,"Williams, L.O. & Assis, V.",1945,9,13,NA,/06/2008,2,Brazil,Minas Gerais,Betim,"Serra da caveira, 20 km w of belo horizonte",-44.177,-19.957,1
SpeciesLink,CEPEC,107922,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,7717,"Queiroz, L.P.",2003,3,9,"Queiroz, L.P.",NA,1,Brasil,Bahia,Morro do ChapŽu,"Ca. 32Km ao W de Morro do ChapŽu, na estrada para Irecê.",-41.37,-11.472,2
SpeciesLink,NYBG_BR,978883,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,9188,"Pereira, E.",1964,9,13,"Irwin, H.S.; Barneby, R.C.",1976,2,Brazil,Minas Gerais,,"Serra da Moeda, BR-3",-43.984,-20.099,1
SpeciesLink,SPF,147298,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,10846,"Barreto, H.L.M.",1940,7,28,"Rando, J.G.",2010,1,Brasil,Minas Gerais,CaetŽ,Serra da Piedade,-43.678,-19.822,1
SpeciesLink,NYBG_BR,,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,11542,"Anderson, W.R.",1975,2,23,"Irwin, H.S.; Barneby, R.C.",2009,2,Brazil,Minas Gerais,Gouveia,,-43.644,-18.249,1
SpeciesLink,ESA,28192,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,11545,"Souza, V.C.; Capellari Jr., L.; Souza, J.P.; Scalon, V.R.",1996,7,3,"Rando, J.G.",/06/2008,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, ca. de 2km do C—rrego ChapŽu de Sol",-43.621,-19.169,1
SpeciesLink,NYBG,471675,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,12606,"Mori, S.A.",1979,7,26,"Barneby, R.C.",NA,2,Brazil,Bahia,Mucug,"3 km ao S de Mucugê, na estrada para Jussiape",-41.369,-13.04,1
SpeciesLink,NYBG,471676,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,12965,"Mori, S.A.",1979,11,2,"Barneby, R.C.",NA,2,Brazil,Bahia,Len—is,"BR 242, entre km 224 e 228, a cerca 20 km ao NW de Len—is",-41.458,-12.467,1
SpeciesLink,NYBG,471677,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,14290,"Mori, S.A.",1981,6,10,"Barneby, R.C.",NA,2,Brazil,Bahia,Len—is,"Along BR 242, ca. 15 km NW of Len—is at km 225",-41.43,-12.466,1
SpeciesLink,CEPEC,21343,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,18742,"Harley, R.M.",1977,2,16,"Mattos-Silva, L.A.",NA,2,Brasil,Bahia,Andara’,"22Km S Andarai, Rod. p/ Mucuge.",-41.333,-12.95,2
SpeciesLink,NYBG_BR,978930,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,18946,"Stehmann, J.R.",1990,10,20,"Barneby, R.C.",/07/1997,2,Brazil,Minas Gerais,Santana do Riacho,Serra do Cip—,-43.54,-19.388,2
SpeciesLink,US,2801756,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,20022,"Irwin, H.S.; Maxwell, H.S. & Wasshausen, D.C.",1968,2,14,"Irwin, H.S.; Barneby, R.C.",1982,2,Brazil,Minas Gerais,,"Serra do Cipo, ca km 120, ca. km 120 (ca. 145 km N. of Belo Horizonte)",-43.499,-18.904,1
SpeciesLink,IPA,33001,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,22676,"Harley, R.M.",1980,5,27,"Barneby, R.C.",NA,2,Brasil,Bahia,,"Serra dos Len—is, About 7-10 km along the main Seabra/Itaberaba road W of the Len—is turning, by the Rio Mucugezinho. Extensive sandstone outcrops with shrubs and small trees & some damp ground",-41.433,-12.467,0
SpeciesLink,SP,151835,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,22965,"Irwin, H.S.",1969,2,10,"Rando, J.G.",8/7/08,2,Brasil,Minas Gerais,Francisco Sá,"Serra do Espinhao, Chapada with cerrado, ca. 30km N.E. of Francisco S‡, road to Salinas",-43.203,-16.476,1
SpeciesLink,CESJ,56192,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,25025,"Souza, V.C.",2001,7,4,"Rando, J.G.",/10/2009,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, estrada entre a sede do IBAMA e a Cachoeira da Farofa, ca. 5,5Km da sede. Entre o Ribeir‹o Mascates e a Cachoeira da Far",-43.552,-19.305,1
JG Rando,ESA,,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,26962,"Souza, V.C.",2001,8,27,"Rando, J.G.",NA,2,Brasil,Minas Gerais,CaetŽ,Serra da Piedade,-43.678,-19.88,1
