bibliographicCitation,collectionCode,catalogNumber,scientificName,recordNumber,recordedBy,year,month,day,identifiedBy,dateIdentified,det_ok,country,stateProvince,municipality,locality,decimalLongitude,decimalLatitude,Georef,Qual_data
J.G. Rando,SPF,,Chamaecrista arrojadoana,674,"Rando, J.G.",2009,2,4,"Rando, J.G.",,2,Brasil,Minas Gerais,Congonhas do Norte,"Serra Talhada (setor nordeste da Serra do Cipó), estrada vicinal saindo da estrada Congonhas do Norte  Gouveia, ca. 3,7 km NW de Congonhas do Norte, perto da ponte sobre o Rio Preto).   Mata ciliar.","-43,71","-18,799",1,1
J.G. Rando,SPF,,Chamaecrista arrojadoana,694,"Guedes, M.L.",1994,8,31,"Rando, J.G.",,1,Brasil,Bahia,Lençois,Serra da Chapadinha,"-41,171","-12,563",1,1
J.G. Rando,ESA,93664,Chamaecrista arrojadoana,927,"Savassi-Coutinho, A.P.",2006,1,11,"Rando, J.G.",,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, rod. Belo Horizonte - Conceição do Mato Dentro, 2 km da estrada da Usina","-43,601","-19,169",1,1
J.G. Rando,ALCB,37599,Chamaecrista arrojadoana,937,"Stam, G.",1994,9,27,"Rando, J.G.",,1,Brasil,Bahia,Lençois,próximo ao rio Mucugesinho,"-41,42","-12,462",0,1
SpeciesLink,CEPEC,30227,Chamaecrista arrojadoana,947,"Lewis, G.P.",1981,12,21,"Lewis, G.P.",//,2,Brasil,Bahia,LENÇÓIS,"Mucugezinho, Km 220 da BR-242.","-41,433","-12,467",0,1
SpeciesLink,SPF,211478,Chamaecrista arrojadoana,1011,"Rando, J.G.",2011,10,13,,//,2,Brasil,Minas Gerais,Jaboticatubas,"Serra do Cipó. Trilha para a lagoa Azul, próximo ao alojamento do IBAMA.","-43,629","-19,356",1,1
SpeciesLink,CEPEC,67680,Chamaecrista arrojadoana,1030,"Carvalho, A.M.",1994,10,26,"Conceição, A.S.",//,1,Brasil,Bahia,palmeiras,Pai Inacio.,"-41,471","-12,456",0,1
SpeciesLink,CEPEC,67708,Chamaecrista arrojadoana,1066,"Carvalho, A.M.",1994,10,27,"Conceição, A.S.",//,1,Brasil,Bahia,LENÇÓIS,Chapadinha.,"-41,44","-12,46",0,1
SpeciesLink,SPF,211485,Chamaecrista arrojadoana,1109,"Rando, J.G.",2011,10,27,,//,2,Brasil,Bahia,Palmeiras,"Morro do Pai Inácio. No meio da trlha da subidada antena ao topo da serra. Quando na trilha houver uma bifurcação vira à direita (à esquerda vai para o topo). Platô à direita, lajedo com muitas Vellozia sp.","-41,472","-12,456",1,1
SpeciesLink,SPF,211402,Chamaecrista arrojadoana,1143,"Rando, J.G.; Nogueira, A",2012,1,12,"Rando, J.G.",//,1,Brasil,Minas Gerais,Diamantina,"Parque Estadual do Biribiri, Ca. 3 km de Diamantina, sentido Biribiri.","-43,623","-18,2",0,1
SpeciesLink,UEC,138064,Chamaecrista arrojadoana,1407,"Meireles, L.D.; Verola, C.F.; Caiafa, A.N.; Martins, F.M.",2003,4,20,"Rando, J.G.",/12/1996,2,Brazil,Minas Gerais,Ouro Branco,Serra do Ouro Branco,"-43,72","-20,483",0,1
SpeciesLink,SPF,226155,Chamaecrista arrojadoana,1557,"Queiroz, L.P.",2012,6,10,"Cota, M.M.T.",/03/2016,1,Brasil,Bahia,Mucugê,"Serra da Gobira, ca. 7.5. km S da cidade.","-41,375","-13,077",0,1
SpeciesLink,CEN,107739,Chamaecrista arrojadoana,1767,"Giulietti, A.M.",1981,8,29,"Rando, J.G.",/10/1983,2,Brasil,MG,DIAMANTINA,Margem da estrada Diamantina-Conselheiro. 5 km de Diamantina.,"-43,727","-18,288",1,1
SpeciesLink,NYBG,777464,Chamaecrista arrojadoana,1895,"Ganev, W.",1993,7,19,"Queiroz, L.P.; Hervêncio, P.",//1997,2,Brazil,Bahia,Rio de Contas,"Guarda Mor, Capao de Quinca","-42,33","-13,87",2,1
SpeciesLink,HUEFS,85300,Chamaecrista arrojadoana,1922,"Borba, E.L.",2004,8,5,"Conceição, A.S.",/04/2006,2,Brasil,Bahia,Mucugê,Serra da Tesoura.,"-41,339","-13,137",0,1
SpeciesLink,UEC,130487,Chamaecrista arrojadoana,2226,"Kinoshita, L.S.; Yamamoto, K.",2002,9,24,"Rando, J.G.",/09/2000,1,Brazil,Minas Gerais,Santana do Riacho,"Lapinha, Pico do Breu, campo rupestre","-43,678","-19,104",1,1
Reflora,SPF,SPF00218262,Chamaecrista arrojadoana,2290,"Fontana, A.P.",2006,7,26,Administrador,28/05/2019,2,Brasil,Minas Gerais,Ouro Preto,"Bráz Gomes, caminho para PE Uaimii e Serra do Capanema. Cerrado e Campo rupestre.","-43,555","-20,283",1,1
SpeciesLink,HUEFS,100413,Chamaecrista arrojadoana,2628,"Silva, G.P.",1994,9,5,"Conceição, A.S.",/04/2006,2,Brasil,Bahia,Lençóis,BR-242 entroncamento Lençóis. - Seabra Km 8.,"-41,417","-12,45",0,1
SpeciesLink,CEN,38768,Chamaecrista arrojadoana,2646,"Silva, G.P.",1994,9,6,"Rando, J.G.",/10/1983,1,Brasil,BA,MUCUGE,Rodovia Mucugê - Barra da Estiva km 2.,"-41,417","-13,033",0,1
SpeciesLink,NYBG_BR,979057,Chamaecrista arrojadoana,3250,"Lombardi, J.A.",1999,10,22,"Cota, M.M.T.",/10/1983,1,Brazil,Minas Gerais,Nova Lima,Retiro das Pedras,"-43,994","-20,087",1,1
SpeciesLink,R,171527,Chamaecrista arrojadoana,3368,"Mello Filho, L.E.",1972,7,15,"Hervêncio, P.",/03/2013,1,Brasil,Minas gerais,Nova Lima,Gandarela,"-43,688","-20,079",1,1
SpeciesLink,SPF,119880,Chamaecrista arrojadoana,3429,"Ganev, W.",1994,7,23,"Conceição, A.S.",/07/1999,1,Brasil,Bahia,Abaíra,Caminho Boa Vista - Bicota,"-41,85","-13,317",2,1
SpeciesLink,SP,40545,Chamaecrista arrojadoana,3537,"Markgraf, F.; Brade, A.C.",1938,11,16,"Rando, J.G.",//1976,2,Brasil,Minas Gerais,Belo Horizonte,Serra da Mutuca. Canga. Ex Jard. Bot. de B.Horiz. nº 28305,"-43,96","-20,02",1,1
J.G. Rando,SPF,,Chamaecrista arrojadoana,3787,"Macedo, A.",1952,9,7,"Rando, J.G.",,1,Brasil,Minas Gerais,Ouro Preto,Saramenha,"-43,523","-20,408",1,1
SpeciesLink,MBM,269008,Chamaecrista arrojadoana,4388,"Queiroz, L.P.",1995,7,10,"Queiróz, L.P.",//,2,Brazil,Bahia,Abaíra,9km N de Catolés,"-41,833","-13,033",0,1
SpeciesLink,US,2504930,Chamaecrista arrojadoana,5027,"Archer, W.A.",1936,8,5,"Irwin, H.S.; Barneby, R.C.",//1976,2,Brazil,Minas Gerais,Jaboticatubas,Serra do Cipo,"-43,54","-19,388",2,1
J.G. Rando,SPF,,Chamaecrista arrojadoana,5969,"Barreto, M.",1933,7,28,"Rando, J.G.",,2,Brasil,Minas Gerais,Caeté,Serra da Piedade,"-43,678","-19,88",1,1
SpeciesLink,JPB,57103,Chamaecrista arrojadoana,6061,"Fernandes, MGC",2006,6,20,"Rando, J.G.",10/10/2009,1,Brasil,Minas Gerais,Brumadinho,Parque Estadual Serra do Rola Moça,"-44,002","-20,052",1,1
SpeciesLink,HPL,9634,Chamaecrista arrojadoana,6218,"Paula-Souza, J.; Tsuji, R.",2006,7,20,"Rando, J.G.",//2009,1,Brasil,BA,Palmeiras,"Coletado no Morro do Pai Inácio; em área de campo rupestre. S 12° 27' 20""; W 41° 28' 23"" (1070m.s.m.)","-41,473","-12,456",1,1
SpeciesLink,SPF,217138,Chamaecrista arrojadoana,6471,"Verdi, M.",2013,10,14,"Cota, M.M.T.",/10/1983,1,Brasil,Minas Gerais,Santana do Riacho,"APA Morro da Pedreira, Coletado na trilha para a Pedra do Elefante, a partir do riacho da Pousada.","-43,553","-19,291",0,1
SpeciesLink,SPF,217141,Chamaecrista arrojadoana,6593,"Verdi, M.",2013,10,15,"Cota, M.M.T.",//,1,Brasil,Minas Gerais,Morro do Pilar,"Parque Nacional da Serra do Cipó, Alto Palácio; trilha para as Vellozia gigantea.","-43,519","-19,247",0,1
Reflora,NY,NY00978908,Chamaecrista arrojadoana,6640,"Verdi, M.",2013,10,16,Administrador,1/2/2017,1,Brasil,Minas Gerais,Jaboticatubas,PARNA Serra do Cipó; Cachoeira da Farofa. Portaria do Retiro; coletas realizadas na planície para a Cachoeira da Farofa após cruzar o rio Cipó no bambuzal.,"-43,583","-19,347",2,1
SpeciesLink,US,1933034,Chamaecrista arrojadoana,7506,"Williams, L.O. & Assis, V.",1945,9,13,,/06/2008,2,Brazil,Minas Gerais,Betim,"Serra da caveira, 20 km w of belo horizonte","-44,177","-19,957",1,1
SpeciesLink,CEPEC,107922,Chamaecrista arrojadoana,7717,"Queiroz, L.P.",2003,3,9,"Queiroz, L.P.",//,1,Brasil,Bahia,MORRO DO CHAPÉU,"Ca. 32Km ao W de Morro do Chapéu, na estrada para Irecê.","-41,37","-11,472",2,1
SpeciesLink,NYBG_BR,978883,Chamaecrista arrojadoana,9188,"Pereira, E.",1964,9,13,"Irwin, H.S.; Barneby, R.C.",//1976,2,Brazil,Minas Gerais,,"Serra da Moeda, BR-3","-43,984","-20,099",1,1
SpeciesLink,SPF,147298,Chamaecrista arrojadoana,10846,"Barreto, H.L.M.",1940,7,28,"Rando, J.G.",//2010,1,Brasil,Minas Gerais,Caeté,Serra da Piedade,"-43,678","-19,822",1,1
SpeciesLink,NYBG_BR,,Chamaecrista arrojadoana,11542,"Anderson, W.R.",1975,2,23,"Irwin, H.S.; Barneby, R.C.",//2009,2,Brazil,Minas Gerais,Gouveia,,"-43,644","-18,249",1,1
SpeciesLink,ESA,28192,Chamaecrista arrojadoana,11545,"Souza, V.C.; Capellari Jr., L.; Souza, J.P.; Scalon, V.R.",1996,7,3,"Rando, J.G.",/06/2008,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, ca. de 2km do Córrego Chapéu de Sol","-43,621","-19,169",1,1
SpeciesLink,NYBG,471675,Chamaecrista arrojadoana,12606,"Mori, S.A.",1979,7,26,"Barneby, R.C.",//,2,Brazil,Bahia,Mucugê,"3 km ao S de Mucugê, na estrada para Jussiape","-41,369","-13,04",1,1
SpeciesLink,NYBG,471676,Chamaecrista arrojadoana,12965,"Mori, S.A.",1979,11,2,"Barneby, R.C.",//,2,Brazil,Bahia,Lençóis,"BR 242, entre km 224 e 228, a cerca 20 km ao NW de Lençóis","-41,458","-12,467",1,1
SpeciesLink,NYBG,471677,Chamaecrista arrojadoana,14290,"Mori, S.A.",1981,6,10,"Barneby, R.C.",//,2,Brazil,Bahia,Lençóis,"Along BR 242, ca. 15 km NW of Lençóis at km 225","-41,43","-12,466",1,1
SpeciesLink,CEPEC,21343,Chamaecrista arrojadoana,18742,"Harley, R.M.",1977,2,16,"Mattos-Silva, L.A.",//,2,Brasil,Bahia,ANDARAÍ,"22Km S Andarai, Rod. p/ Mucuge.","-41,333","-12,95",2,1
SpeciesLink,NYBG_BR,978930,Chamaecrista arrojadoana,18946,"Stehmann, J.R.",1990,10,20,"Barneby, R.C.",/07/1997,2,Brazil,Minas Gerais,Santana do Riacho,Serra do Cipó,"-43,54","-19,388",2,1
SpeciesLink,US,2801756,Chamaecrista arrojadoana,20022,"Irwin, H.S.; Maxwell, H.S. & Wasshausen, D.C.",1968,2,14,"Irwin, H.S.; Barneby, R.C.",//1982,2,Brazil,Minas Gerais,,"Serra do Cipo, ca km 120, ca. km 120 (ca. 145 km N. of Belo Horizonte)","-43,499","-18,904",1,1
SpeciesLink,IPA,33001,Chamaecrista arrojadoana,22676,"Harley, R.M.",1980,5,27,"Barneby, R.C.",//,2,Brasil,Bahia,,"Serra dos Lençóis, About 7-10 km along the main Seabra/Itaberaba road W of the Lençóis turning, by the Rio Mucugezinho. Extensive sandstone outcrops with shrubs and small trees & some damp ground","-41,433","-12,467",0,1
SpeciesLink,SP,151835,Chamaecrista arrojadoana,22965,"Irwin, H.S.",1969,2,10,"Rando, J.G.",8/7/2008,2,Brasil,Minas Gerais,Francisco Sá,"Serra do Espinhaço, Chapada with cerrado, ca. 30km N.E. of Francisco Sá, road to Salinas","-43,203","-16,476",1,1
SpeciesLink,CESJ,56192,Chamaecrista arrojadoana,25025,"Souza, V.C.",2001,7,4,"Rando, J.G.",/10/2009,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, estrada entre a sede do IBAMA e a Cachoeira da Farofa, ca. 5,5Km da sede. Entre o Ribeirão Mascates e a Cachoeira da Far","-43,552","-19,305",1,1
J.G. Rando,ESA,,Chamaecrista arrojadoana,26962,"Souza, V.C.",2001,8,27,"Rando, J.G.",,2,Brasil,Minas Gerais,Caeté,Serra da Piedade,"-43,678","-19,88",1,1
SpeciesLink,MBM,23169,Chamaecrista arrojadoana,29841,"Hatschbach, G.",,,,"Barneby, R.C.",//1976,2,Brazil,Minas Gerais,Jaboticatubas,Serra do Cipó,"-43,54","-19,388",2,1
SpeciesLink,NYBG_BR,978907,Chamaecrista arrojadoana,35266,"Hatschbach, G.",1974,10,24,"Barneby, R.C.",//2010,2,Brazil,Minas Gerais,Jaboticatubas,Entre Rio Doce e Colonia,"-43,745","-19,514",2,1
SpeciesLink,UB,127461,Chamaecrista arrojadoana,36061,"Anderson, W.R.",1972,2,17,"Barneby, R.C.",//,1,Brasil,Minas Gerais,,Serra do Cipó,"-43,565","-19,391",2,1
SpeciesLink,UB,127460,Chamaecrista arrojadoana,36263,"Anderson, W.R.",1972,2,18,"Barneby, R.C.",22/03/2014,2,Brasil,Minas Gerais,,Serra do Cipó,"-43,641","-19,445",1,1
Reflora,RB,RB00142883,Chamaecrista arrojadoana,49019,"Maguire, B.",1960,8,6,"Cota, M.M.T.",3/7/2019,1,Brasil,Minas Gerais,Minas Gerais,"SERRRA DI CIPÓ, KM 111-120, ROAD FROM HOTEL CHAPEU DO SOL,.","-43,554","-19,289",0,1
SpeciesLink,INPA,142209,Chamaecrista arrojadoana,49699,"Hatschbach, G.",1985,9,14,"Hatschbach, G.",/11/1997,2,Brasil,Minas Gerais,Gouveia,"Barro Preto, Torre Telemig.","-43,836","-18,561",1,1
SpeciesLink,UEC,63520,Chamaecrista arrojadoana,56871,"Hatschbach, G.",1992,4,8,"Conceição, A.S.",9/4/2003,1,Brazil,Bahia,Mucugê,2 - 3Km S.,"-41,372","-12,989",1,1
SpeciesLink,SP,154698,Chamaecrista arrojadoana,705902,"Brantjes, N.B.M.",1978,5,16,"Hervêncio, P.",/10/1983,2,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, Chapéu do Sol","-43,601","-19,3",1,1
SpeciesLink,UEC,129552,Chamaecrista arrojadoana,C-192,"Yamamoto, K.; Kinoshita, L.S.; Costa, I.R.; Verola, C.F.; Rio, M.C.S.; Nakakura, H.C.C.",2002,9,27,"Rando, J.G.",//,2,Brazil,Minas Gerais,Santana do Riacho,Estrada para o Morro do Breu,"-43,698","-19,112",2,1
SpeciesLink,CESJ,1845,Chamaecrista arrojadoana,CESJ1845,"Roth, L.",1957,1,15,,//,2,Brasil,Minas Gerais,Belo Horizonte,"Serra do Curral, BR 3, Km 15","-43,892","-19,945",1,1
SpeciesLink,NYBG_BR,978956,Chamaecrista arrojadoana,CFCR1767,"Giulietti, A.M.",1981,8,30,"Barneby, R.C.",/01/2014,2,Brazil,Minas Gerais,Diamantina,"Margem da estrada para Conselheiro Mata, 5 km de Diamantina","-43,663","-18,252",1,1
SpeciesLink,SPF,18742,Chamaecrista arrojadoana,CFCR1947,"Furlan, A.",1981,9,7,"Lewis, GP",//1983,1,Brasil,Bahia,Mucugê,Estrada Mucugê -Guiné,"-41,371","-13,005",0,1
